#
# The Tor Project
#
# URL: https://metrics.torproject.org/versions.csv?start=2019-02-18&end=2019-05-19
#
date,version,relays
2019-03-31,0.2.5,147
2019-03-31,0.2.6,24
2019-03-31,0.2.7,75
2019-03-31,0.2.8,22
2019-03-31,0.2.9,1072
2019-03-31,0.3.0,59
2019-03-31,0.3.1,71
2019-03-31,0.3.2,236
2019-03-31,0.3.3,287
2019-03-31,0.3.4,1108
2019-03-31,0.3.5,3072
2019-03-31,0.4.0,184
2019-03-31,0.4.1,19
2019-03-31,Other,1
2019-04-01,0.2.4,132
2019-04-01,0.2.5,148
2019-04-01,0.2.6,21
2019-04-01,0.2.7,77
2019-04-01,0.2.8,22
2019-04-01,0.2.9,1105
2019-04-01,0.3.0,63
2019-04-01,0.3.1,70
2019-04-01,0.3.2,245
2019-04-01,0.3.3,288
2019-04-01,0.3.4,1107
2019-04-01,0.3.5,3142
2019-04-01,0.4.0,181
2019-04-01,0.4.1,17
2019-04-01,Other,1
2019-04-02,0.2.4,135
2019-04-02,0.2.5,147
2019-04-02,0.2.6,21
2019-04-02,0.2.7,78
2019-04-02,0.2.8,20
2019-04-02,0.2.9,1115
2019-04-02,0.3.0,61
2019-04-02,0.3.1,70
2019-04-02,0.3.2,246
2019-04-02,0.3.3,286
2019-04-02,0.3.4,1099
2019-04-02,0.3.5,3138
2019-04-02,0.4.0,175
2019-04-02,0.4.1,16
2019-04-02,Other,1
2019-04-03,0.2.4,135
2019-04-03,0.2.5,145
2019-04-03,0.2.6,23
2019-04-03,0.2.7,78
2019-04-03,0.2.8,18
2019-04-03,0.2.9,1114
2019-04-03,0.3.0,61
2019-04-03,0.3.1,71
2019-04-03,0.3.2,244
2019-04-03,0.3.3,283
2019-04-03,0.3.4,1103
2019-04-03,0.3.5,3151
2019-04-03,0.4.0,178
2019-04-03,0.4.1,16
2019-04-03,Other,1
2019-04-04,0.2.4,133
2019-04-04,0.2.5,147
2019-04-04,0.2.6,25
2019-04-04,0.2.7,77
2019-04-04,0.2.8,20
2019-04-04,0.2.9,1116
2019-04-04,0.3.0,62
2019-04-04,0.3.1,69
2019-04-04,0.3.2,249
2019-04-04,0.3.3,282
2019-04-04,0.3.4,1095
2019-04-04,0.3.5,3174
2019-04-04,0.4.0,179
2019-04-04,0.4.1,17
2019-04-04,Other,1
2019-04-05,0.2.4,135
2019-04-05,0.2.5,147
2019-04-05,0.2.6,25
2019-04-05,0.2.7,77
2019-04-05,0.2.8,20
2019-04-05,0.2.9,1110
2019-04-05,0.3.0,59
2019-04-05,0.3.1,67
2019-04-05,0.3.2,251
2019-04-05,0.3.3,278
2019-04-05,0.3.4,1076
2019-04-05,0.3.5,3171
2019-04-05,0.4.0,180
2019-04-05,0.4.1,20
2019-04-05,Other,1
2019-04-06,0.2.4,140
2019-04-06,0.2.5,146
2019-04-06,0.2.6,25
2019-04-06,0.2.7,77
2019-04-06,0.2.8,20
2019-04-06,0.2.9,1100
2019-04-06,0.3.0,59
2019-04-06,0.3.1,67
2019-04-06,0.3.2,257
2019-04-06,0.3.3,274
2019-04-06,0.3.4,1088
2019-04-06,0.3.5,3198
2019-04-06,0.4.0,181
2019-04-06,0.4.1,21
2019-04-06,Other,1
2019-04-07,0.2.4,139
2019-04-07,0.2.5,142
2019-04-07,0.2.6,26
2019-04-07,0.2.7,76
2019-04-07,0.2.8,21
2019-04-07,0.2.9,1103
2019-04-07,0.3.0,59
2019-04-07,0.3.1,67
2019-04-07,0.3.2,257
2019-04-07,0.3.3,271
2019-04-07,0.3.4,1066
2019-04-07,0.3.5,3212
2019-04-07,0.4.0,180
2019-04-07,0.4.1,20
2019-04-07,Other,1
2019-04-08,0.2.4,136
2019-04-08,0.2.5,142
2019-04-08,0.2.6,25
2019-04-08,0.2.7,77
2019-04-08,0.2.8,21
2019-04-08,0.2.9,1099
2019-04-08,0.3.0,60
2019-04-08,0.3.1,66
2019-04-08,0.3.2,258
2019-04-08,0.3.3,267
2019-04-08,0.3.4,1045
2019-04-08,0.3.5,3232
2019-04-08,0.4.0,181
2019-04-08,0.4.1,21
2019-04-08,Other,1
2019-04-09,0.2.4,132
2019-04-09,0.2.5,143
2019-04-09,0.2.6,25
2019-04-09,0.2.7,77
2019-04-09,0.2.8,21
2019-04-09,0.2.9,1101
2019-04-09,0.3.0,59
2019-04-09,0.3.1,66
